Name,Symbol,APIR Code,Morningstar Medalist Rating™,Analyst-Driven %,Data Coverage %,Medalist Rating Date,Morningstar ESG Risk Rating,Morningstar Category,Low Carbon Designation,Sustainable Investment (By Prospectus),Historical Corporate Sustainability Score,Historical Sovereign Sustainability Score,Corporate Sustainability Percent Rank,Portfolio Carbon Risk Score,Fossil Fuel % Covered Portfolio Involved,Alcohol(%),Animal Testing(%),Controversial Weapons(%),Tobacco(%),Gambling(%),Small Arms(%),Thermal Coal(%),1 Month Return (%),3 Months Return (%),6 Months Return (%),YTD Return (%),1 Year Annualised (%),3 Years Annualised (%),5 Years Annualised (%),10 Years Annualised (%),Investment Management Fee(%),TCR (P),Manager Tenure (Yrs),Fund Size (Mil),Equity StyleBox™,Fixed Income StyleBox™,Average Market Cap (Mil),Average Credit Quality,Effective Duration,Morningstar Rating,Morningstar Risk (Rel to Category),3 Year Alpha,3 Year Beta,3 Year R-Squared,3 Year Standard Deviation,3 Year Sharpe Ratio
OnePath OA IP-Magellan Global Trust-EF/Sel,9002,MMF0400AU,Negative,100.00,100.00,2025-03-31,3,Equity World Large Blend,Yes,No,,,,2.95,3.01,1.63,15.07,0,0,0,0.00,0.00,−1.94,−7.68,3.13,−4.28,−6.98,6.07,3.57,6.84,1.94,1.99,4.83,4.23 ,Large Growth,,,,,1,4,−6.29,0.86,45.73,14.79,0.22
OnePath OA IP-Magellan Global Trust-NEF,9003,MMF0417AU,Negative,100.00,100.00,2025-03-31,3,Equity World Large Blend,Yes,No,,,,2.95,3.01,1.63,15.07,0,0,0,0.00,0.00,−2.01,−7.89,2.75,−4.57,9.87,8.07,4.73,7.44,2.79,2.84,4.83,4.23 ,Large Growth,,,,,1,3,−4.45,0.83,63.26,12.22,0.40
OnePath OA IP-Merlon Australian Share Income-EF/Sel,15842,MMF1081AU,Neutral,10.00,93.00,2025-03-31,3,Australia Equity Income,No,No,,,,10.89,13.15,10.81,1.29,0,0,2.22,0.00,5.08,0.27,−1.59,1.00,1.03,2.51,5.29,9.56,4.43,1.54,1.54,17.58,,Mid Value,,,,,3,2,−0.60,0.60,75.28,9.32,0.20
OnePath OA IP-Merlon Australian Share Income-NEF,15846,MMF1102AU,Neutral,10.00,93.00,2025-03-31,3,Australia Equity Income,No,No,,,,10.89,13.15,10.81,1.29,0,0,2.22,0.00,5.08,0.27,−1.59,1.00,1.03,2.51,5.29,9.37,3.94,2.39,2.39,17.58,,Mid Value,,,,,2,2,−0.60,0.60,75.28,9.32,0.20
OnePath OA IP-MFS Global Equity Trust-EF/Sel,6626,MMF0262AU,Bronze,100.00,100.00,2025-03-31,4,Equity World Large Blend,Yes,No,,,,5.22,2.53,8.22,25.91,2.95,0,0,1.58,0.00,−4.40,0.27,6.36,0.27,−9.43,−3.73,2.61,4.65,1.44,1.44,15.58,2.33 ,Large Blend,,,,,,,−13.46,0.65,29.59,14.08,−0.46
OnePath OA IP-MFS Global Equity Trust-NEF,6647,MMF0267AU,Neutral,100.00,100.00,2025-03-31,4,Equity World Large Blend,Yes,No,,,,5.22,2.53,8.22,25.91,2.95,0,0,1.58,0.00,−2.50,−7.59,1.22,−2.44,6.87,3.02,5.59,6.17,2.29,2.29,15.58,2.33 ,Large Blend,,,,,1,3,−8.74,0.78,54.72,12.42,0.00
OnePath OA IP-OnePath Australian Share Trust-EF/Sel,4081,MMF0069AU,Neutral,10.00,96.00,2025-03-31,4,Equity Australia Large Blend,No,No,,,,11.40,,2.11,12.93,0,0,0,0.00,,−2.70,−2.83,−1.35,−2.83,3.77,4.20,12.18,4.70,1.24,1.24,17.83,35.11 ,Large Growth,,,,,,,−1.15,0.86,94.65,11.83,0.10
OnePath OA IP-OnePath Blue Chip Imputation Trust-EF/Sel,1026,MMF0012AU,,,,,2,Equity Australia Large Blend,No,No,,,,13.90,,0,0,0,0,3.33,0.00,,−1.43,−0.47,−5.49,−0.47,−4.49,1.27,10.77,2.02,1.24,1.24,,302.29 ,Large Value,,,,,,,−3.74,0.68,83.19,10.04,−0.19
OnePath OA IP-OnePath Emerging Companies Trust-EF/Sel,2773,MMF0013AU,,,,,,Equity Australia Mid/Small Growth,,No,,,,,,,,,,,,,−3.61,−3.73,−3.62,−3.73,−0.90,−1.07,7.47,4.04,1.24,1.24,35.58,94.11 ,,,,,,,,−2.71,0.37,24.27,13.53,−0.28
OnePath OA IP-OnePath Emerging Companies Trust-NEF,5202,MMF0074AU,,,,,,Equity Australia Mid/Small Growth,,No,,,,,,,,,,,,,2.69,−2.99,−1.65,−0.54,5.04,1.49,5.39,4.08,2.09,2.09,35.58,94.11 ,,,,,,2,1,0.42,0.81,90.22,15.23,−0.07
OnePath OA IP-OnePath Global Share Trust-EF/Sel,5503,MMF0108AU,Negative,10.00,99.00,2025-03-31,,Equity World Large Blend,,No,,,,,,,,,,,,,−4.82,−2.08,7.01,−2.08,8.85,10.82,10.77,10.61,1.34,1.34,10.92,7.94 ,,,,,,,,−2.10,0.87,87.15,11.00,0.67
OnePath OA IP-OnePath Global Share Trust-NEF,5504,MMF0111AU,Negative,10.00,99.00,2025-03-31,,Equity World Large Blend,,No,,,,,,,,,,,,,0.19,−6.27,3.97,−2.10,11.52,10.68,9.12,10.03,2.19,2.19,10.92,7.94 ,,,,,,3,2,−2.57,0.86,86.12,10.87,0.65
OnePath OA IP-OnePath Property Securities Trust-EF/Sel,5501,MMF0107AU,Neutral,0.00,96.00,2025-03-31,5,Equity Australia Real Estate,Yes,No,,,,5.80,0.00,0,0,0,0,0,0.00,0.00,−4.12,−4.69,−10.01,−4.69,−3.68,3.90,13.78,3.75,1.24,1.24,14.58,41.21 ,Mid Value,,,,,,,0.40,0.92,98.92,21.47,0.11
OnePath OA IP-OnePath Property Securities Trust-NEF,5502,MMF0110AU,Negative,0.00,96.00,2025-03-31,5,Equity Australia Real Estate,Yes,No,,,,5.80,0.00,0,0,0,0,0,0.00,0.00,6.25,−3.40,−2.34,1.05,10.21,6.00,11.23,3.93,2.09,2.09,14.58,41.21 ,Mid Value,,,,,2,4,0.74,0.93,99.12,21.89,0.20
OnePath OA IP-OnePath Select Leaders Trust-EF/Sel,10323,MMF0592AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.31,15.04,0,12.06,0,0,5.58,0.00,9.19,−2.29,−2.70,−0.47,−2.70,5.19,4.20,11.78,4.19,1.24,1.24,14.83,1.54 ,Large Blend,,,,,,,−1.05,0.79,91.17,11.14,0.10
OnePath OA IP-OnePath Select Leaders Trust-NEF,10324,MMF0593AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.31,15.04,0,12.06,0,0,5.58,0.00,9.19,2.87,−3.53,2.82,0.64,12.65,6.38,10.87,4.27,2.09,2.09,14.83,1.54 ,Large Blend,,,,,2,2,−0.50,0.90,96.92,12.42,0.26
OnePath OA IP-OnePath Sustainable Investments-Australian Shares-EF/Sel,10287,MMF0556AU,Neutral,100.00,100.00,2025-03-31,4,Equity Australia Large Blend,No,Yes,,,,7.95,13.21,0,13.95,0,0,0,0.00,8.71,−2.80,−3.12,−2.18,−3.12,−2.19,0.96,10.26,4.01,1.24,1.24,14.83,28.03 ,Large Blend,,,,,,,−4.22,0.83,84.76,12.16,−0.16
OnePath OA IP-OnePath Sustainable Investments-Australian Shares-NEF,10288,MMF0557AU,Neutral,100.00,100.00,2025-03-31,4,Equity Australia Large Blend,No,Yes,,,,7.95,13.21,0,13.95,0,0,0,0.00,8.71,3.62,−3.10,2.50,0.92,11.97,5.20,10.82,4.86,2.09,2.09,14.83,28.03 ,Large Blend,,,,,2,3,−1.84,1.00,97.82,13.65,0.17
OnePath OA IP-OptiMix Australian Share Trust-EF/Sel,10299,MMF0568AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,−4.09,−4.03,−4.37,−4.03,1.07,3.22,11.43,4.50,1.42,1.42,,17.25 ,,,,,,,,−2.17,0.89,98.07,12.10,0.02
OnePath OA IP-OptiMix Australian Share Trust-NEF,10300,MMF0569AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,2.37,−5.49,−1.19,−1.64,6.23,4.29,9.69,4.49,2.27,2.27,,17.25 ,,,,,,2,3,−2.60,0.94,99.21,12.81,0.10
OnePath OA IP-OptiMix Global Emerging Markets Share-EF/Sel,15844,MMF1083AU,,,,,,Equity Emerging Markets,,No,,,,,,,,,,,,,−0.98,−2.81,3.58,−2.81,11.16,5.28,3.44,2.43,1.54,1.54,,,,,,,,,,−1.92,0.86,84.80,10.33,0.20
OnePath OA IP-OptiMix Global Emerging Markets Share-NEF,15849,MMF1104AU,,,,,,Equity Emerging Markets,,No,,,,,,,,,,,,,−1.15,−3.51,−0.41,−4.13,8.93,4.87,2.00,1.23,2.39,2.39,,,,,,,,1,2,−1.99,0.85,85.90,10.24,0.15
OnePath OA IP-OptiMIx Global Share Trust-EF/Sel,10307,MMF0576AU,,,,,,Equity World Large Blend,,No,,,,,,,,,,,,,−4.38,−2.71,7.06,−2.71,7.44,12.23,14.01,9.77,1.60,1.60,,,,,,,,,,−1.43,0.94,83.16,12.12,0.72
OnePath OA IP-OptiMIx Global Share Trust-NEF,10308,MMF0577AU,,,,,,Equity World Large Blend,,No,,,,,,,,,,,,,−1.51,−7.37,1.40,−4.37,9.47,12.26,12.45,9.04,2.45,2.45,,,,,,,,3,3,−2.40,0.98,98.09,11.58,0.74
OnePath OA IP-OptiMix Property Securities Trust-EF/Sel,10295,MMF0564AU,,,,,,Equity Australia Real Estate,,No,,,,,,,,,,,,,−4.32,−4.69,−10.21,−4.69,−4.26,3.25,13.22,5.17,1.42,1.42,,11.83 ,,,,,,,,−0.27,0.90,99.04,21.06,0.08
OnePath OA IP-OptiMix Property Securities Trust-NEF,10296,MMF0565AU,,,,,,Equity Australia Real Estate,,No,,,,,,,,,,,,,5.80,−3.83,−2.84,0.62,9.36,5.23,10.94,5.32,2.27,2.27,,11.83 ,,,,,,2,4,0.01,0.93,99.47,21.82,0.17
OnePath OA IP- Pendal Australian Shares-EF/Sel,17050,MMF1157AU,Silver,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.09,17.43,3.5,8.99,0,0,3.84,0.00,9.61,−3.31,−3.52,−3.72,−3.52,−6.50,−0.67,9.03,4.46,1.44,1.44,16.17,,Large Blend,,,,,,,−5.27,0.59,48.07,11.36,−0.32
OnePath OA IP- Pendal Australian Shares-NEF,17051,MMF1158AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.09,17.43,3.5,8.99,0,0,3.84,0.00,9.61,1.78,−5.19,−0.72,−1.49,7.50,5.34,10.41,5.80,2.29,2.29,16.17,,Large Blend,,,,,2,2,−1.53,0.92,97.10,12.70,0.18
OnePath OA IP-Perpetual Australian Share Trust-EF/Sel,9000,MMF0399AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Value,No,No,,,,10.85,20.01,0,5.91,0,0,5.95,0.00,11.63,−4.68,−4.66,−7.18,−4.66,−4.01,1.71,12.27,4.35,1.54,1.54,8.42,46.65 ,Large Blend,,,,,,,−3.46,0.79,88.37,11.33,−0.11
OnePath OA IP-Perpetual Australian Share Trust-NEF,9001,MMF0416AU,Negative,100.00,100.00,2025-03-31,3,Equity Australia Large Value,No,No,,,,10.85,20.01,0,5.91,0,0,5.95,0.00,11.63,4.18,−2.95,−1.51,−0.33,2.39,2.61,10.37,4.26,2.39,2.39,8.42,46.65 ,Large Blend,,,,,1,2,−3.96,0.86,91.31,12.12,−0.03
OnePath OA IP-Platinum International Trust-EF/Sel,10293,MMF0562AU,Negative,100.00,100.00,2025-04-09,3,Equity World Large Value,Yes,No,,,,7.21,4.85,4.49,14.79,0,0,0,0.00,0.00,−1.94,0.03,0.87,0.03,−1.71,1.73,3.86,3.61,2.14,2.17,0.17,11.15 ,Large Blend,,,,,,,−4.48,0.29,10.27,10.67,−0.12
OnePath OA IP-Platinum International Trust-NEF,10294,MMF0563AU,Negative,100.00,100.00,2025-04-09,3,Equity World Large Value,Yes,No,,,,7.21,4.85,4.49,14.79,0,0,0,0.00,0.00,−4.03,−4.73,−4.23,−4.21,−3.62,0.30,3.07,2.83,2.99,3.02,0.17,11.15 ,Large Blend,,,,,1,3,−4.48,0.14,2.58,10.45,−0.28
OnePath OA IP-Schroder Australian Equity Trust-EF/Sel,10319,MMF0588AU,Bronze,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.62,21.22,1.25,4.97,0,0,0,0.00,8.27,−2.57,−1.60,−3.79,−1.60,−3.16,−1.23,8.90,3.92,1.44,1.44,21.67,13.29 ,Large Value,,,,,,,−5.45,0.47,28.18,11.83,−0.35
OnePath OA IP-Schroder Australian Equity Trust-NEF,10320,MMF0589AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.62,21.22,1.25,4.97,0,0,0,0.00,8.27,0.82,−3.21,−0.28,−0.15,2.50,3.38,9.82,4.94,2.29,2.29,21.67,13.29 ,Large Value,,,,,2,3,−3.24,0.87,92.76,12.19,0.03
OnePath OA IP-Schroder Fixed Income-EF/Sel,18392,MMF1930AU,Neutral,100.00,100.00,2025-03-31,,Bonds - Australia,,No,,,,8.10,11.26,0.02,0.81,0,0,0,0.00,0.09,−0.09,1.17,0.71,1.17,3.29,1.14,−0.78,0.84,1.09,1.10,6.17,,,Medium Extreme,,A,6.06,,,−0.42,1.05,99.04,6.02,−0.39
OnePath OA IP-Schroder Fixed Income-NEF,18393,MMF1932AU,Negative,100.00,100.00,2025-03-31,,Bonds - Australia,,No,,,,8.10,11.26,0.02,0.81,0,0,0,0.00,0.09,1.50,2.25,4.15,2.47,6.09,1.43,−1.15,0.34,1.94,1.95,6.17,,,Medium Extreme,,A,6.06,1,3,−1.25,1.04,99.00,5.97,−0.36
OnePath OA IP-Stewart Investors WorldWide Sustainability-NEF,15847,MMF1101AU,Neutral,100.00,100.00,2025-03-31,4,Equity World Large Growth,Yes,Yes,,,,6.21,0.00,0,27.58,0,0,0,0.00,0.00,−0.17,−6.38,0.42,−2.84,5.07,5.24,4.57,4.61,2.64,2.64,10.42,,Large Growth,,,,,1,3,−8.48,0.96,71.78,13.24,0.17
OnePath OA IP-Stewart Investors WorldWide Sustainability Trust-EF/Sel,15841,MMF1080AU,Neutral,100.00,100.00,2025-03-31,4,Equity World Large Growth,Yes,Yes,,,,6.21,0.00,0,27.58,0,0,0,0.00,0.00,−5.03,−2.47,2.39,−2.47,1.69,3.51,5.20,5.26,1.79,1.79,10.42,,Large Growth,,,,,,,−7.86,0.78,54.77,12.48,0.05
OnePath OA IP-T Rowe Price Global Equity Fund-EF/Sel,17072,MMF1225AU,Silver,100.00,100.00,2025-03-31,2,Equity World Large Growth,Yes,No,,,,7.14,7.18,0.23,12.17,1.56,0,0.03,0.57,0.59,−4.51,−4.57,5.71,−4.57,1.32,5.91,9.26,9.38,1.79,1.89,16.17,,Large Growth,,,,,,,−6.54,0.86,77.16,11.67,0.24
OnePath OA IP-T Rowe Price Global Equity Fund-NEF,17073,MMF1226AU,Neutral,100.00,100.00,2025-03-31,2,Equity World Large Growth,Yes,No,,,,7.14,7.18,0.23,12.17,1.56,0,0.03,0.57,0.59,−2.34,−9.01,−0.60,−6.80,7.68,9.45,8.23,9.35,2.64,2.74,16.17,,Large Growth,,,,,2,2,−3.89,0.88,89.42,10.89,0.55
OnePath OA IP-Walter Scott Global Equity (Hedged)-EF/Sel,18394,MMF1933AU,Neutral,100.00,100.00,2025-03-31,5,Equity World - Currency Hedged,Yes,No,,,,4.25,1.60,2.07,21.11,0,0,0,0.00,0.00,−6.26,−4.60,−5.83,−4.60,−9.01,−0.95,7.90,6.66,1.82,1.82,14.75,,Large Growth,,,,,,,−7.60,0.94,80.93,16.07,−0.21
OnePath OA IP-Walter Scott Global Equity (Hedged)-NEF,18395,MMF1935AU,Negative,100.00,100.00,2025-03-31,5,Equity World - Currency Hedged,Yes,No,,,,4.25,1.60,2.07,21.11,0,0,0,0.00,0.00,0.55,−7.84,−4.37,−4.28,−0.15,4.23,7.46,6.74,2.67,2.67,14.75,,Large Growth,,,,,2,3,−5.05,0.98,91.62,14.91,0.10
OnePath OA TAP-AMP Capital Equity EF,11973,MMF0744AU,,,,,3,Equity Australia Large Growth,No,No,,,,10.01,19.60,0.45,7.87,0,0,2.33,0.00,9.48,0.00,0.00,0.00,0.00,0.00,0.00,6.19,4.02,0.88,0.91,,6.28 ,Large Blend,,,,,2,1,−3.69,0.00,4.57,0.00,−14.83
OnePath OA TAP-AMP Capital Equity NEF,11974,MMF0745AU,,,,,3,Equity Australia Large Growth,No,No,,,,10.01,19.60,0.45,7.87,0,0,2.33,0.00,9.48,0.00,0.00,0.00,0.00,0.00,−0.77,7.39,3.76,1.72,1.75,,6.28 ,Large Blend,,,,,1,1,−5.13,0.22,16.62,7.45,−0.57
OnePath OA TAP-Antipodes Global (Long only)-EF/Sel,11961,MMF0800AU,,,,,2,Equity World Large Value,,,,,,,,,,,,,,,−1.37,0.25,7.54,4.66,15.63,13.90,13.09,7.67,1.33,1.34,,,,,,,,3,2,5.65,0.36,25.70,8.41,1.16
OnePath OA TAP-Antipodes Global (Long only)-NEF,11962,MMF0801AU,,,,,2,Equity World Large Value,,,,,,,,,,,,,,,−1.28,−0.03,7.54,4.32,15.62,13.65,12.51,7.10,1.33,1.34,,,,,,,,3,3,2.96,0.60,49.76,9.89,0.98
OnePath OA TAP-ANZ Term Deposit 12 Months,19186,MMF1838AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,
OnePath OA TAP-ANZ Term Deposit 2 Years,19187,MMF1863AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,
OnePath OA TAP-ANZ Term Deposit 3 Months,19184,MMF1824AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,
OnePath OA TAP-ANZ Term Deposit 3 Years,19188,MMF1870AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,
OnePath OA TAP-ANZ Term Deposit 5 Years,19189,MMF1877AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,
OnePath OA TAP-ANZ Term Deposit 6 Months,19185,MMF1831AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,
OnePath OA TAP-Arrowstreet Global Equity (Hedged)-EF/Sel,11979,MMF0746AU,,,,,2,Equity World - Currency Hedged,No,No,,,,7.58,6.35,0.27,7.9,0.96,0.01,0.17,2.00,0.76,−0.80,−1.94,1.99,0.18,9.81,11.85,16.30,9.68,1.40,1.47,1.33,45.40 ,Large Blend,,,,,5,3,3.77,0.64,79.88,10.46,0.78
OnePath OA TAP-Arrowstreet Global Equity (Hedged)-NEF,11980,MMF0747AU,,,,,2,Equity World - Currency Hedged,No,No,,,,7.58,6.35,0.27,7.9,0.96,0.01,0.17,2.00,0.76,−0.80,−1.94,1.99,0.18,9.81,11.51,15.82,9.12,1.40,1.47,1.33,45.40 ,Large Blend,,,,,5,3,3.46,0.64,79.91,10.47,0.75
OnePath OA TAP-Ausbil Aust Emerging Leaders-EF/Sel,13089,MMF0932AU,,,,,2,Equity Australia Mid/Small Growth,No,No,,,,9.71,9.81,0,6.59,0,0,0,0.00,0.00,4.87,−3.08,2.25,1.82,10.75,4.33,15.12,8.17,1.30,1.31,19.67,5.68 ,Mid Growth,,,,,5,3,3.09,0.72,64.88,15.85,0.11
OnePath OA TAP-Ausbil Aust Emerging Leaders-NEF,13090,MMF0920AU,,,,,2,Equity Australia Mid/Small Growth,No,No,,,,9.71,9.81,0,6.59,0,0,0,0.00,0.00,4.87,−3.08,2.25,1.82,10.75,3.94,14.52,7.48,1.30,1.31,19.67,5.68 ,Mid Growth,,,,,4,3,2.72,0.72,64.93,15.87,0.09
OnePath OA TAP-Greencape Broadcap EF,41934,MMF6384AU,Silver,100.00,100.00,2025-03-31,2,Equity Australia Large Growth,No,No,,,,10.55,17.67,0,16.73,0,0,3.78,0.00,8.95,2.36,−6.98,−2.24,−3.09,6.79,7.34,11.30,,1.35,1.72,7.67,,Large Growth,,,,,3,3,0.15,1.02,96.09,14.02,0.31
OnePath OA TAP-Greencape Broadcap NEF,41935,MMF9784AU,Silver,100.00,100.00,2025-03-31,2,Equity Australia Large Growth,No,No,,,,10.55,17.67,0,16.73,0,0,3.78,0.00,8.95,2.36,−6.98,−2.24,−3.09,6.79,6.94,10.71,,1.35,1.72,7.67,,Large Growth,,,,,3,3,−0.23,1.02,96.12,14.03,0.28
OnePath OA TAP-Investors Mutual Australian Shares-EF/Sel,12027,MMF0812AU,,,,,3,Equity Australia Large Blend,No,No,,,,9.38,12.89,3.1,11.52,0,0,9.27,0.00,6.94,1.64,1.09,4.90,1.79,10.46,5.56,10.32,5.81,1.35,1.36,15.33,26.09 ,Large Blend,,,,,2,1,−0.37,0.61,73.91,9.58,0.23
OnePath OA TAP-Investors Mutual Australian Shares-NEF,12028,MMF0813AU,,,,,3,Equity Australia Large Blend,No,No,,,,9.38,12.89,3.1,11.52,0,0,9.27,0.00,6.94,1.64,1.09,4.90,1.79,10.46,5.24,9.86,5.27,1.35,1.36,15.33,26.09 ,Large Blend,,,,,1,1,−0.67,0.61,73.94,9.60,0.19
OnePath OA TAP-IOOF/Perennial Value Shares-EF/Sel,12045,MMF0814AU,,,,,3,Equity Australia Large Value,No,No,,,,9.90,21.41,2.6,10.01,0,0,4.07,0.00,11.82,1.24,−4.14,−2.01,−2.68,4.88,4.99,13.86,6.07,1.35,1.42,6.83,12.68 ,Large Blend,,,,,2,4,−1.46,0.83,75.79,12.95,0.15
OnePath OA TAP-IOOF/Perennial Value Shares-NEF,12046,MMF0815AU,,,,,3,Equity Australia Large Value,No,No,,,,9.90,21.41,2.6,10.01,0,0,4.07,0.00,11.82,1.24,−4.14,−2.01,−2.68,4.88,4.60,13.27,5.39,1.35,1.42,6.83,12.68 ,Large Blend,,,,,1,4,−1.84,0.84,75.93,12.96,0.12
OnePath OA TAP-Magellan Global-EF/Sel,11977,MMF0764AU,,,,,3,Equity World Large Blend,Yes,No,,,,2.95,3.01,1.63,15.07,0,0,0,0.00,0.00,−0.95,−6.73,3.96,−2.75,12.21,13.18,8.10,9.30,1.85,1.91,4.83,,Large Growth,,,,,2,3,1.29,0.72,59.08,10.94,0.86
OnePath OA TAP-Magellan Global-NEF,11978,MMF0765AU,,,,,3,Equity World Large Blend,Yes,No,,,,2.95,3.01,1.63,15.07,0,0,0,0.00,0.00,−0.95,−6.73,3.96,−2.75,12.21,12.84,7.65,8.75,1.85,1.91,4.83,,Large Growth,,,,,2,3,0.98,0.72,59.13,10.95,0.83
OnePath OA TAP-MFS Global Equity Fund EF,11953,MMF0784AU,,,,,4,Equity World Large Blend,,,,,,,,,,,,,,,−2.28,−7.09,1.02,−1.64,7.54,8.27,9.20,8.28,1.35,1.36,,,,,,,,1,4,−2.93,0.69,65.12,9.95,0.48
OnePath OA TAP-MFS Global Equity-NEF,11954,MMF0785AU,,,,,4,Equity World Large Blend,,,,,,,,,,,,,,,−2.28,−7.09,1.02,−1.64,7.54,7.86,8.63,7.59,1.35,1.36,,,,,,,,1,3,−3.32,0.69,65.18,9.96,0.44
OnePath OA TAP-Nikko AM Australian Shares EF,41936,MMF3988AU,,,,,2,Equity Australia Large Value,No,No,,,,10.51,16.12,0.07,8.87,0,0,2.24,0.00,7.63,2.86,−1.47,1.20,3.04,6.15,4.94,12.26,,1.35,1.36,7.67,,Large Value,,,,,2,3,−1.62,0.82,91.35,11.57,0.15
OnePath OA TAP-Nikko AM Australian Shares NEF,41937,MMF8562AU,,,,,2,Equity Australia Large Value,No,No,,,,10.51,16.12,0.07,8.87,0,0,2.24,0.00,7.63,2.86,−1.47,1.19,3.04,6.14,4.54,11.67,,1.35,1.36,7.67,,Large Value,,,,,1,3,−2.00,0.82,91.41,11.58,0.12
OnePath OA TAP-OnePath Australian Shares-EF/Sel,11945,MMF0768AU,,,,,4,Equity Australia Large Blend,,,,,,,,,,,,,,,2.10,−1.61,3.77,0.60,15.12,8.98,14.47,6.94,1.15,1.16,,,,,,,,4,2,2.36,0.78,79.53,11.89,0.47
OnePath OA TAP-OnePath Australian Shares-NEF,11946,MMF0769AU,,,,,4,Equity Australia Large Blend,,,,,,,,,,,,,,,2.10,−1.61,3.77,0.60,15.12,8.57,13.87,6.26,1.15,1.16,,,,,,,,3,2,1.98,0.79,79.57,11.91,0.44
OnePath OA TAP-OnePath Blue Chip Imputation-EF/Sel,11963,MMF0772AU,,,,,2,Equity Australia Large Blend,No,No,,,,13.90,,0,0,0,0,3.33,0.00,,1.86,1.78,3.11,3.01,7.33,6.27,13.45,4.95,1.15,1.16,,210.43 ,Large Value,,,,,2,2,0.17,0.66,75.20,10.32,0.28
OnePath OA TAP-OnePath Blue Chip Imputation-NEF,11964,MMF0773AU,,,,,2,Equity Australia Large Blend,No,No,,,,13.90,,0,0,0,0,3.33,0.00,,1.86,1.78,3.11,3.01,7.33,5.87,12.86,4.28,1.15,1.16,,210.43 ,Large Value,,,,,2,2,−0.22,0.66,75.34,10.34,0.25
OnePath OA TAP-OnePath Emerging Companies-EF/Sel,11935,MMF0782AU,,,,,,Equity Australia Mid/Small Growth,,No,,,,,,,,,,,,,2.71,−0.17,0.63,0.22,9.70,3.59,8.17,5.73,1.15,1.16,35.58,94.11 ,,,,,,2,2,2.04,0.65,67.63,14.22,0.06
OnePath OA TAP-OnePath Emerging Companies-NEF,11936,MMF0783AU,,,,,,Equity Australia Mid/Small Growth,,No,,,,,,,,,,,,,2.71,−0.17,0.63,0.22,9.70,4.26,7.60,5.05,1.15,1.16,35.58,94.11 ,,,,,,2,2,2.55,0.63,69.14,13.63,0.10
OnePath OA TAP-OnePath Global Emerging Markets-EF/Sel,11959,MMF0786AU,,,,,,Equity Emerging Markets,,,,,,,,,,,,,,,−1.04,−1.88,0.33,−3.80,10.25,6.01,3.25,3.53,1.25,1.26,,,,,,,,2,3,0.08,0.58,54.64,8.84,0.29
OnePath OA TAP-OnePath Global Emerging Markets-NEF,11960,MMF0787AU,,,,,,Equity Emerging Markets,,,,,,,,,,,,,,,−1.04,−1.88,0.33,−3.80,10.25,5.61,2.71,2.87,1.25,1.26,,,,,,,,2,3,−0.31,0.59,54.56,8.87,0.24
OnePath OA TAP-OnePath Global Shares-EF/Sel,11947,MMF0790AU,,,,,,Equity World Large Blend,,,,,,,,,,,,,,,0.87,−5.13,4.48,−0.63,13.23,11.83,10.23,10.87,1.25,1.26,,,,,,,,3,3,1.30,0.60,54.34,9.48,0.84
OnePath OA TAP-OnePath Global Shares-NEF,11948,MMF0791AU,,,,,,Equity World Large Blend,,,,,,,,,,,,,,,0.87,−5.13,4.48,−0.63,13.23,11.41,9.65,10.17,1.25,1.26,,,,,,,,3,3,0.91,0.60,54.43,9.50,0.80
OnePath OA TAP-OnePath Property Securities-EF/Sel,11949,MMF0804AU,,,,,5,Equity Australia Real Estate,,,,,,,,,,,,,,,5.63,−0.52,−0.07,1.81,14.12,7.55,14.04,5.04,1.15,1.16,,,,,,,,4,3,2.26,0.77,90.08,19.11,0.28
OnePath OA TAP-OnePath Property Securities-NEF,11950,MMF0805AU,,,,,5,Equity Australia Real Estate,,,,,,,,,,,,,,,5.62,−0.52,−0.07,1.81,14.12,7.15,13.44,4.37,1.15,1.16,,,,,,,,4,2,1.89,0.77,90.06,19.13,0.26
